airline,price,duration,stops,departure,arrival,returns,datetime
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",288 €,16 h 15 min,1 escala,19:35,11:50+1,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",470 €,13 h 40 min,1 escala,8:20,22:00,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",482 €,8 h 55 min,1 escala,10:15,19:10,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",507 €,10 h 50 min,1 escala,8:20,19:10,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",507 €,11 h 45 min,1 escala,10:15,22:00,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",507 €,4 h 35 min,1 escala,14:35,19:10,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",507 €,4 h 55 min,1 escala,17:05,22:00,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",507 €,3 h,1 escala,19:00,22:00,ida y vuelta,2023-04-22T21:29:58.173197
"Air Europa,Swiftair",522 €,7 h 25 min,1 escala,14:35,22:00,ida y vuelta,2023-04-22T21:29:58.173197
Tap Air Portugal,639 €,19 h 55 min,1 escala,17:55,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197
Tap Air PortugalOperado por Portugalia Airlines,639 €,17 h 40 min,1 escala,20:10,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197
Tap Air Portugal,639 €,15 h 35 min,1 escala,22:15,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197
Tap Air PortugalOperado por Bulgaria Air,690 €,26 h 45 min,1 escala,11:05,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197
Tap Air Portugal,741 €,24 h 15 min,1 escala,13:35,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197
Tap Air Portugal,741 €,21 h 30 min,1 escala,16:20,13:50+1,ida y vuelta,2023-04-22T21:29:58.173197
British Airways,793 €,13 h 30 min,1 escala,20:45,10:15+1,ida y vuelta,2023-04-22T21:29:58.173197
Tap Air Portugal,808 €,6 h 30 min,1 escala,7:40,14:10,ida y vuelta,2023-04-22T21:29:58.173197
"Iberia,British Airways",914 €,11 h 35 min,1 escala,7:00,18:35,ida y vuelta,2023-04-22T21:29:58.173197
"Iberia,British Airways",914 €,10 h 35 min,1 escala,8:00,18:35,ida y vuelta,2023-04-22T21:29:58.173197
British AirwaysOperado por Finnair for British Airways,914 €,7 h 35 min,1 escala,11:00,18:35,ida y vuelta,2023-04-22T21:29:58.173197
"Iberia,British AirwaysOperado por Iberia Express for Iberia",1.013 €,9 h 20 min,1 escala,8:45,18:05,ida y vuelta,2023-04-22T21:29:58.173197
British Airways,1.045 €,6 h 25 min,1 escala,12:10,18:35,ida y vuelta,2023-04-22T21:29:58.173197
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",1.392 €,30 h 40 min,1 escala,16:00,22:40+1,ida y vuelta,2023-04-22T21:29:58.173197
VuelingIberia,50 €,1 h 20 min,Directo,9:30,10:50,ida y vuelta,2023-04-22T21:30:32.804734
Billetes separados que se han reservado juntos,67 €,Air Europa,MAD–BCN,7:30,8:55,ida y vuelta,2023-04-22T21:30:32.804734
VuelingIberia,55 €,1 h 20 min,Directo,13:40,15:00,ida y vuelta,2023-04-22T21:30:32.804734
VuelingIberia,55 €,1 h 20 min,Directo,18:30,19:50,ida y vuelta,2023-04-22T21:30:32.804734
VuelingIberia,55 €,1 h 20 min,Directo,22:35,23:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,100 €,12 h 50 min,1 escala,8:20,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Iberia,104 €,1 h 20 min,Directo,21:35,22:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,117 €,5 h 50 min,2 escalas,15:20,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,9 h 35 min,1 escala,8:20,17:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,7 h 40 min,1 escala,10:15,17:55,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,10 h 55 min,1 escala,10:15,21:10,ida y vuelta,2023-04-22T21:30:32.804734
Air Europa,120 €,4 h 5 min,1 escala,17:05,21:10,ida y vuelta,2023-04-22T21:30:32.804734
