airline,price,duration,stops,departure,arrival,returns,datetime
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",141 €,10 h,1 escala,7:55,17:55,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,142 €,"Air Europa,Vueling",MAD–PMI,10:35,15:05,ida y vuelta,2023-04-22T21:31:40.270727
"Air EuropaOperado por Air Europa Express,Air Europa Express",153 €,2 h 55 min,1 escala,7:00,9:55,ida y vuelta,2023-04-22T21:31:40.270727
Iberia Express,155 €,1 h 25 min,Directo,11:25,12:50,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia,Air Nostrum for Iberia",155 €,6 h 50 min,2 escalas,7:55,14:45,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia,Air Nostrum for Iberia",155 €,8 h 40 min,2 escalas,7:55,16:35,ida y vuelta,2023-04-22T21:31:40.270727
Air EuropaOperado por Air Europa Express,155 €,7 h 15 min,1 escala,10:45,18:00,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,165 €,1 h 20 min,Directo,17:05,18:25,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,165 €,2 h 40 min,1 escala,15:20,18:00,ida y vuelta,2023-04-22T21:31:40.270727
IberiaOperado por Iberia Express,169 €,1 h 25 min,Directo,11:25,12:50,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,190 €,1 h 20 min,Directo,19:00,20:20,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",190 €,12 h 25 min,1 escala,23:00,11:25+1,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",193 €,4 h 25 min,1 escala,18:15,22:40,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",193 €,4 h 45 min,1 escala,18:15,23:00,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",193 €,13 h 35 min,1 escala,18:15,7:50+1,ida y vuelta,2023-04-22T21:31:40.270727
Iberia Express,193 €,1 h 25 min,Directo,15:40,17:05,ida y vuelta,2023-04-22T21:31:40.270727
Iberia Express,193 €,1 h 20 min,Directo,19:40,21:00,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",193 €,14 h 55 min,1 escala,18:15,9:10+1,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",194 €,16 h 45 min,1 escala,23:00,15:45+1,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",202 €,19 h 25 min,1 escala,16:00,11:25+1,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",202 €,23 h 45 min,1 escala,16:00,15:45+1,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,205 €,1 h 20 min,Directo,14:35,15:55,ida y vuelta,2023-04-22T21:31:40.270727
IberiaOperado por Iberia Express,209 €,1 h 25 min,Directo,15:40,17:05,ida y vuelta,2023-04-22T21:31:40.270727
IberiaOperado por Iberia Express,209 €,1 h 20 min,Directo,19:40,21:00,ida y vuelta,2023-04-22T21:31:40.270727
Air Europa,215 €,15 h 15 min,1 escala,7:30,22:45,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",229 €,15 h 10 min,1 escala,20:15,11:25+1,ida y vuelta,2023-04-22T21:31:40.270727
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",229 €,19 h 30 min,1 escala,20:15,15:45+1,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,239 €,9 h 20 min,1 escala,22:35,7:55+1,ida y vuelta,2023-04-22T21:31:40.270727
VuelingIberia,249 €,8 h 50 min,1 escala,22:35,7:25+1,ida y vuelta,2023-04-22T21:31:40.270727
"Air EuropaOperado por Air Europa Express,Air Europa Express",251 €,11 h 5 min,1 escala,7:00,18:05,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,259 €,10 h 50 min,1 escala,22:35,9:25+1,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,269 €,9 h 50 min,1 escala,13:40,23:30,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,279 €,14 h,1 escala,9:30,23:30,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,279 €,13 h 25 min,1 escala,18:30,7:55+1,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,289 €,5 h,1 escala,18:30,23:30,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,289 €,12 h 55 min,1 escala,18:30,7:25+1,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,299 €,7 h 50 min,1 escala,13:40,21:30,ida y vuelta,2023-04-22T21:31:40.270727
Tap Air Portugal,306 €,38 h 10 min,1 escala,22:15,12:25+2,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,309 €,12 h,1 escala,9:30,21:30,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,309 €,11 h 30 min,1 escala,22:35,10:05+1,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,329 €,3 h,1 escala,18:30,21:30,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,344 €,5 h 20 min,1 escala,13:40,19:00,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,344 €,14 h,1 escala,22:35,12:35+1,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,354 €,9 h 30 min,1 escala,9:30,19:00,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,364 €,4 h 25 min,1 escala,13:40,18:05,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,374 €,8 h 35 min,1 escala,9:30,18:05,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,384 €,3 h 20 min,1 escala,13:40,17:00,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,394 €,7 h 30 min,1 escala,9:30,17:00,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,404 €,3 h 5 min,1 escala,9:30,12:35,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,414 €,8 h 40 min,1 escala,13:40,22:20,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,424 €,6 h,1 escala,9:30,15:30,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,424 €,12 h 50 min,1 escala,9:30,22:20,ida y vuelta,2023-04-22T21:31:40.270727
Vueling,434 €,3 h 50 min,1 escala,18:30,22:20,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,532 €,Transavia,MAD–PMI,6:00,15:55,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,608 €,Transavia,MAD–PMI,6:00,22:45,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,650 €,Transavia,MAD–PMI,20:40,18:00+1,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,650 €,Transavia,MAD–PMI,20:40,22:45+1,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,667 €,Transavia,MAD–PMI,12:45,22:45,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,671 €,Transavia,MAD–PMI,12:45,11:40+1,ida y vuelta,2023-04-22T21:31:40.270727
Billetes separados que se han reservado juntos,671 €,Transavia,MAD–PMI,20:40,11:40+1,ida y vuelta,2023-04-22T21:31:40.270727
British Airways,1.175 €,7 h 25 min,1 escala,12:10,19:35,ida y vuelta,2023-04-22T21:31:40.270727
British Airways,1.196 €,9 h 5 min,1 escala,10:30,19:35,ida y vuelta,2023-04-22T21:31:40.270727
British AirwaysOperado por BA Cityflyer,1.285 €,13 h 30 min,1 escala,20:45,10:15+1,ida y vuelta,2023-04-22T21:31:40.270727
British AirwaysOperado por BA Cityflyer,1.337 €,16 h 55 min,1 escala,17:20,10:15+1,ida y vuelta,2023-04-22T21:31:40.270727
"British AirwaysOperado por Finnair for British Airways,BA Cityflyer",1.402 €,14 h 25 min,1 escala,19:50,10:15+1,ida y vuelta,2023-04-22T21:31:40.270727
"Lufthansa,Eurowings Discover",5.453 €,6 h 15 min,1 escala,6:10,12:25,ida y vuelta,2023-04-22T21:31:40.270727
LufthansaOperado por Eurowings Discover,5.453 €,5 h 25 min,1 escala,11:55,17:20,ida y vuelta,2023-04-22T21:31:40.270727
Ryanair,50 €,2 h 45 min,Directo,8:10,9:55,ida y vuelta,2023-04-22T21:32:19.319324
Ryanair,65 €,2 h 45 min,Directo,22:00,23:45,ida y vuelta,2023-04-22T21:32:19.319324
Iberia ExpressIberia,80 €,2 h 40 min,Directo,21:50,23:30,ida y vuelta,2023-04-22T21:32:19.319324
Iberia ExpressIberia,132 €,2 h 45 min,Directo,11:25,13:10,ida y vuelta,2023-04-22T21:32:19.319324
Billetes separados que se han reservado juntos,193 €,Iberia,MAD–ACE,11:25,13:10,ida y vuelta,2023-04-22T21:32:19.319324
Billetes separados que se han reservado juntos,119 €,Vueling,MAD–ACE,18:30,0:30+1,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",165 €,10 h 5 min,1 escala,7:30,16:35,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",166 €,19 h 35 min,1 escala,22:00,16:35+1,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",168 €,18 h 50 min,2 escalas,22:45,16:35+1,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",169 €,18 h 50 min,2 escalas,22:45,16:35+1,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",177 €,8 h 10 min,1 escala,9:25,16:35,ida y vuelta,2023-04-22T21:32:19.319324
Billetes separados que se han reservado juntos,179 €,"Air Europa,canaryfly",MAD–ACE,15:05,18:55,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",183 €,5 h 40 min,1 escala,11:55,16:35,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",186 €,9 h 50 min,2 escalas,7:45,16:35,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",186 €,9 h 50 min,2 escalas,7:45,16:35,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,Binter CanariasOperado por Iberia Express",201 €,8 h 10 min,2 escalas,9:25,16:35,ida y vuelta,2023-04-22T21:32:19.319324
VuelingIberia,202 €,11 h 50 min,1 escala,13:40,0:30+1,ida y vuelta,2023-04-22T21:32:19.319324
VuelingIberia,232 €,16 h,1 escala,9:30,0:30+1,ida y vuelta,2023-04-22T21:32:19.319324
VuelingIberia,247 €,16 h 20 min,1 escala,22:35,13:55+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",256 €,25 h 40 min,1 escala,7:05,7:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",256 €,26 h 40 min,1 escala,7:05,8:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",256 €,18 h 40 min,1 escala,15:05,8:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",270 €,22 h 40 min,1 escala,15:05,12:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",270 €,25 h 10 min,1 escala,15:05,15:15+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",295 €,26 h 45 min,1 escala,20:00,21:45+1,ida y vuelta,2023-04-22T21:32:19.319324
VuelingIberia,297 €,5 h 25 min,1 escala,9:30,13:55,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",309 €,20 h 15 min,1 escala,20:00,15:15+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",309 €,25 h 15 min,1 escala,20:00,20:15+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,6 h 40 min,1 escala,7:05,12:45,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,9 h 10 min,1 escala,7:05,15:15,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,14 h 10 min,1 escala,7:05,20:15,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,15 h 40 min,1 escala,7:05,21:45,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,6 h 10 min,1 escala,15:05,20:15,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,7 h 40 min,1 escala,15:05,21:45,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,12 h 45 min,1 escala,20:00,7:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",431 €,13 h 45 min,1 escala,20:00,8:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",432 €,17 h 40 min,1 escala,15:05,7:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",476 €,11 h 5 min,2 escalas,11:40,21:45,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",488 €,12 h 50 min,1 escala,7:05,18:55,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,British Airways",489 €,13 h 30 min,1 escala,7:00,19:30,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,British Airways",489 €,12 h 30 min,1 escala,8:00,19:30,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",489 €,17 h 45 min,1 escala,20:00,12:45+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryflyOperado por Air Europa Express",497 €,6 h 30 min,1 escala,7:05,12:35,ida y vuelta,2023-04-22T21:32:19.319324
Aer Lingus,504 €,9 h 15 min,1 escala,10:40,18:55,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,British AirwaysOperado por Iberia Express",509 €,11 h 45 min,1 escala,8:45,19:30,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,British AirwaysOperado por Iberia Express,BA Euroflyer",526 €,17 h 30 min,1 escala,18:40,11:10+1,ida y vuelta,2023-04-22T21:32:19.319324
Aer Lingus,539 €,26 h 40 min,1 escala,10:40,12:20+1,ida y vuelta,2023-04-22T21:32:19.319324
"Iberia,British Airways",551 €,11 h 20 min,1 escala,9:10,19:30,ida y vuelta,2023-04-22T21:32:19.319324
British AirwaysOperado por BA Euroflyer,600 €,15 h 25 min,1 escala,20:45,11:10+1,ida y vuelta,2023-04-22T21:32:19.319324
"Air Europa,canaryfly",604 €,23 h 55 min,1 escala,20:00,18:55+1,ida y vuelta,2023-04-22T21:32:19.319324
VuelingIberia,715 €,25 h 15 min,1 escala,13:40,13:55+1,ida y vuelta,2023-04-22T21:32:19.319324
VuelingIberia,719 €,20 h 25 min,1 escala,18:30,13:55+1,ida y vuelta,2023-04-22T21:32:19.319324
Air Europa,45 €,1 h,Directo,6:40,7:40,ida y vuelta,2023-04-22T21:32:47.025568
Air Europa,45 €,1 h,Directo,11:00,12:00,ida y vuelta,2023-04-22T21:32:47.025568
IberiaVueling,76 €,1 h,Directo,22:10,23:10,ida y vuelta,2023-04-22T21:32:47.025568
Iberia,81 €,1 h,Directo,7:25,8:25,ida y vuelta,2023-04-22T21:32:47.025568
Air Europa,82 €,1 h,Directo,15:00,16:00,ida y vuelta,2023-04-22T21:32:47.025568
Iberia,92 €,1 h,Directo,17:45,18:45,ida y vuelta,2023-04-22T21:32:47.025568
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",101 €,15 h 20 min,1 escala,7:55,23:15,ida y vuelta,2023-04-22T21:32:47.025568
Iberia,104 €,1 h 5 min,Directo,11:45,12:50,ida y vuelta,2023-04-22T21:32:47.025568
Iberia,123 €,1 h 5 min,Directo,19:45,20:50,ida y vuelta,2023-04-22T21:32:47.025568
IberiaOperado por Air Nostrum for Iberia,126 €,25 h 45 min,1 escala,15:45,17:30+1,ida y vuelta,2023-04-22T21:32:47.025568
IberiaOperado por Air Nostrum for Iberia,126 €,21 h 50 min,1 escala,19:40,17:30+1,ida y vuelta,2023-04-22T21:32:47.025568
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",133 €,29 h 50 min,1 escala,11:40,17:30+1,ida y vuelta,2023-04-22T21:32:47.025568
IberiaOperado por Air Nostrum for Iberia,133 €,19 h 15 min,1 escala,22:15,17:30+1,ida y vuelta,2023-04-22T21:32:47.025568
Air Europa,135 €,1 h,Directo,19:05,20:05,ida y vuelta,2023-04-22T21:32:47.025568
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",146 €,3 h,1 escala,20:15,23:15,ida y vuelta,2023-04-22T21:32:47.025568
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",148 €,9 h 15 min,1 escala,23:00,8:15+1,ida y vuelta,2023-04-22T21:32:47.025568
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",181 €,12 h,1 escala,20:15,8:15+1,ida y vuelta,2023-04-22T21:32:47.025568
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",202 €,19 h,1 escala,23:00,18:00+1,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,202 €,13 h 45 min,1 escala,18:30,8:15+1,ida y vuelta,2023-04-22T21:32:47.025568
Air Europa,204 €,11 h 20 min,1 escala,7:05,18:25,ida y vuelta,2023-04-22T21:32:47.025568
Air Europa,204 €,6 h 45 min,1 escala,11:40,18:25,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,207 €,9 h 40 min,1 escala,22:35,8:15+1,ida y vuelta,2023-04-22T21:32:47.025568
"IberiaOperado por Air Nostrum for Iberia,Air Nostrum for Iberia",215 €,7 h 15 min,1 escala,16:00,23:15,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,217 €,14 h 25 min,1 escala,22:35,13:00+1,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,218 €,15 h 30 min,1 escala,20:10,11:40+1,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,222 €,11 h 45 min,1 escala,22:35,10:20+1,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,227 €,13 h 25 min,1 escala,22:15,11:40+1,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,232 €,4 h 30 min,1 escala,18:30,23:00,ida y vuelta,2023-04-22T21:32:47.025568
Iberia,265 €,1 h 5 min,Directo,15:55,17:00,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,272 €,3 h 50 min,1 escala,18:30,22:20,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,282 €,17 h 45 min,1 escala,17:55,11:40+1,ida y vuelta,2023-04-22T21:32:47.025568
IberiaOperado por Air Nostrum for Iberia,324 €,12 h 30 min,1 escala,7:20,19:50,ida y vuelta,2023-04-22T21:32:47.025568
IberiaOperado por Air Nostrum for Iberia,391 €,4 h,1 escala,15:50,19:50,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,426 €,19 h 20 min,1 escala,16:20,11:40+1,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,474 €,5 h 25 min,1 escala,17:55,23:20,ida y vuelta,2023-04-22T21:32:47.025568
Aer Lingus,494 €,10 h 5 min,1 escala,10:40,20:45,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,496 €,15 h 40 min,1 escala,7:40,23:20,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,496 €,12 h 15 min,1 escala,11:05,23:20,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,496 €,9 h 45 min,1 escala,13:35,23:20,ida y vuelta,2023-04-22T21:32:47.025568
Tap Air PortugalOperado por Xfly,496 €,7 h,1 escala,16:20,23:20,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,598 €,18 h 30 min,1 escala,18:30,13:00+1,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,645 €,18 h 20 min,1 escala,22:35,16:55+1,ida y vuelta,2023-04-22T21:32:47.025568
VuelingIberia,645 €,20 h 20 min,1 escala,22:35,18:55+1,ida y vuelta,2023-04-22T21:32:47.025568
LufthansaOperado por Lufthansa CityLine,909 €,10 h 45 min,1 escala,7:15,18:00,ida y vuelta,2023-04-22T21:32:47.025568
LufthansaOperado por Lufthansa CityLine,909 €,15 h,1 escala,7:15,22:15,ida y vuelta,2023-04-22T21:32:47.025568
LufthansaOperado por Lufthansa CityLine,909 €,6 h 5 min,1 escala,11:55,18:00,ida y vuelta,2023-04-22T21:32:47.025568
LufthansaOperado por Lufthansa CityLine,909 €,10 h 20 min,1 escala,11:55,22:15,ida y vuelta,2023-04-22T21:32:47.025568
LufthansaOperado por Lufthansa CityLine,909 €,6 h 50 min,1 escala,15:25,22:15,ida y vuelta,2023-04-22T21:32:47.025568
LufthansaOperado por Lufthansa CityLine,929 €,19 h 25 min,1 escala,15:25,10:50+1,ida y vuelta,2023-04-22T21:32:47.025568
Lufthansa,1.154 €,7 h 20 min,1 escala,6:10,13:30,ida y vuelta,2023-04-22T21:32:47.025568
Air Europa,45 €,1 h,Directo,10:45,11:45,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,114 €,1 h,Directo,15:20,16:20,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,96 €,11 h 25 min,1 escala,8:20,19:45,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,100 €,23 h 45 min,1 escala,8:20,8:05+1,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,100 €,12 h 15 min,2 escalas,7:30,19:45,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,115 €,9 h 30 min,1 escala,10:15,19:45,ida y vuelta,2023-04-22T21:33:18.747801
Air EuropaOperado por Air Europa Express,115 €,5 h 10 min,1 escala,14:35,19:45,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,115 €,10 h 20 min,1 escala,21:45,8:05+1,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,119 €,21 h 50 min,1 escala,10:15,8:05+1,ida y vuelta,2023-04-22T21:33:18.747801
Air EuropaOperado por Air Europa Express,119 €,17 h 30 min,1 escala,14:35,8:05+1,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,119 €,15 h,1 escala,17:05,8:05+1,ida y vuelta,2023-04-22T21:33:18.747801
Air EuropaOperado por Air Europa Express,127 €,13 h 5 min,1 escala,19:00,8:05+1,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,163 €,1 h,Directo,7:55,8:55,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,169 €,26 h 40 min,1 escala,17:05,19:45+1,ida y vuelta,2023-04-22T21:33:18.747801
Air Europa,169 €,22 h,1 escala,21:45,19:45+1,ida y vuelta,2023-04-22T21:33:18.747801
Air EuropaOperado por Air Europa Express,182 €,24 h 45 min,1 escala,19:00,19:45+1,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,182 €,1 h 5 min,Directo,23:00,0:05+1,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",202 €,5 h 50 min,1 escala,7:05,12:55,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",202 €,12 h 20 min,1 escala,7:05,19:25,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",215 €,14 h 15 min,1 escala,22:40,12:55+1,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,217 €,1 h 5 min,Directo,16:00,17:05,ida y vuelta,2023-04-22T21:33:18.747801
"Air EuropaOperado por Air Europa Express,Air Europa Express",230 €,4 h 35 min,2 escalas,15:10,19:45,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",238 €,5 h 15 min,1 escala,7:25,12:40,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",241 €,15 h 40 min,1 escala,7:25,23:05,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",246 €,3 h 10 min,1 escala,19:55,23:05,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",261 €,3 h 45 min,1 escala,15:40,19:25,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",262 €,17 h 15 min,1 escala,19:40,12:55+1,ida y vuelta,2023-04-22T21:33:18.747801
"Tap Air PortugalOperado por Bulgaria Air,Portugalia Airlines",280 €,7 h 5 min,1 escala,16:20,23:25,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",286 €,11 h 30 min,1 escala,11:35,23:05,ida y vuelta,2023-04-22T21:33:18.747801
Tap Air PortugalOperado por Xfly,310 €,9 h 55 min,1 escala,7:40,17:35,ida y vuelta,2023-04-22T21:33:18.747801
Tap Air PortugalOperado por Portugalia Airlines,310 €,15 h 45 min,1 escala,7:40,23:25,ida y vuelta,2023-04-22T21:33:18.747801
Tap Air PortugalOperado por Portugalia Airlines,310 €,5 h 30 min,1 escala,17:55,23:25,ida y vuelta,2023-04-22T21:33:18.747801
"Tap Air PortugalOperado por Bulgaria Air,Xfly",312 €,6 h 30 min,1 escala,11:05,17:35,ida y vuelta,2023-04-22T21:33:18.747801
"Tap Air PortugalOperado por Bulgaria Air,Portugalia Airlines",312 €,12 h 20 min,1 escala,11:05,23:25,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,313 €,1 h 5 min,Directo,20:15,21:20,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Air Nostrum for Iberia",324 €,16 h 45 min,1 escala,19:55,12:40+1,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,324 €,3 h 35 min,1 escala,12:25,16:00,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,340 €,4 h 30 min,1 escala,11:30,16:00,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,369 €,5 h 35 min,1 escala,15:55,21:30,ida y vuelta,2023-04-22T21:33:18.747801
Tap Air PortugalOperado por Xfly,409 €,4 h,1 escala,13:35,17:35,ida y vuelta,2023-04-22T21:33:18.747801
Tap Air PortugalOperado por Portugalia Airlines,409 €,9 h 50 min,1 escala,13:35,23:25,ida y vuelta,2023-04-22T21:33:18.747801
IberiaOperado por Air Nostrum for Iberia,428 €,5 h 5 min,1 escala,11:05,16:10,ida y vuelta,2023-04-22T21:33:18.747801
"IberiaOperado por Iberia Express,Mel Air for Airnostrum as Iberia",449 €,6 h 45 min,1 escala,15:45,22:30,ida y vuelta,2023-04-22T21:33:18.747801
Tap Air PortugalOperado por Portugalia Airlines,472 €,15 h 40 min,1 escala,20:10,11:50+1,ida y vuelta,2023-04-22T21:33:18.747801
